City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Portland,US,2020-06-21 22:43:35,45.52,-122.68,75.99,40,40,4.7
107,Puerto Ayora,EC,2020-06-21 22:42:32,-0.74,-90.35,71.01,91,74,5.01
108,Pemangkat,ID,2020-06-21 22:42:56,1.17,108.97,76.84,89,87,6.67
109,Hilo,US,2020-06-21 22:42:41,19.73,-155.09,82.4,58,90,8.05
110,Samarai,PG,2020-06-21 22:43:28,-10.62,150.67,80.01,85,11,10.71
111,Inzer,RU,2020-06-21 22:43:36,54.22,57.56,41.58,84,9,4.94
112,Basco,PH,2020-06-21 22:43:36,20.45,121.97,84.92,77,100,11.34
113,San Patricio,MX,2020-06-21 22:43:36,19.22,-104.7,89.6,66,75,9.17
114,East London,ZA,2020-06-21 22:43:36,-33.02,27.91,62.24,66,1,9.55
115,Kousseri,CM,2020-06-21 22:43:36,12.08,15.03,82.4,61,64,3.36
116,Kawhia,NZ,2020-06-21 22:43:36,-38.07,174.82,64.0,70,62,5.99
117,Hailar,CN,2020-06-21 22:43:36,49.2,119.7,61.88,61,66,7.58
118,New Norfolk,AU,2020-06-21 22:42:34,-42.78,147.06,53.01,93,100,3.18
119,Nola,IT,2020-06-21 22:43:36,40.92,14.53,66.99,88,66,3.36
120,Eyl,SO,2020-06-21 22:43:36,7.98,49.82,81.48,67,28,20.31
121,Pampa,US,2020-06-21 22:39:08,35.54,-100.96,93.2,49,1,21.92
122,China,MX,2020-06-21 22:43:36,25.7,-99.23,97.34,38,5,15.99
123,Goderich,CA,2020-06-21 22:43:36,43.75,-81.72,73.99,78,70,1.01
124,Labuhan,ID,2020-06-21 22:43:36,-6.88,112.21,77.16,88,98,8.12
125,Kahului,US,2020-06-21 22:42:02,20.89,-156.47,87.8,43,40,18.34
126,Phonhong,LA,2020-06-21 22:43:36,18.5,102.42,76.78,90,53,2.55
127,Saint George,US,2020-06-21 22:43:36,37.1,-113.58,100.99,9,1,12.75
128,The Valley,AI,2020-06-21 22:43:36,18.22,-63.06,86.0,74,40,13.87
129,Alice Springs,AU,2020-06-21 22:39:26,-23.7,133.88,33.8,69,0,5.82
130,Nome,US,2020-06-21 22:42:31,64.5,-165.41,66.99,76,75,10.29
131,Cockburn Town,TC,2020-06-21 22:39:50,21.46,-71.14,86.0,70,40,9.17
132,Esperance,AU,2020-06-21 22:43:04,-33.87,121.9,41.0,80,0,13.87
133,Talcahuano,CL,2020-06-21 22:40:15,-36.72,-73.12,50.0,93,75,3.36
134,Kanungu,UG,2020-06-21 22:43:37,-0.96,29.79,59.41,87,30,2.71
135,Pucara,PE,2020-06-21 22:43:37,-15.98,-71.46,62.6,23,0,8.05
136,Geraldton,AU,2020-06-21 22:42:57,-28.77,114.6,60.8,36,75,25.28
137,Binzhou,CN,2020-06-21 22:43:37,37.37,118.02,76.82,53,79,7.25
138,Caravelas,BR,2020-06-21 22:43:34,-17.71,-39.25,70.02,72,0,3.71
139,Yashkul,RU,2020-06-21 22:43:37,46.17,45.34,76.73,42,45,6.85
140,Celestun,MX,2020-06-21 22:43:37,20.87,-90.4,86.61,65,0,16.51
141,Chapleau,CA,2020-06-21 22:43:37,47.84,-83.4,69.8,73,75,8.05
142,Yumen,CN,2020-06-21 22:39:37,40.28,97.2,61.75,51,31,6.06
143,Coquimbo,CL,2020-06-21 22:43:02,-29.95,-71.34,57.2,87,24,6.93
144,Port Elizabeth,ZA,2020-06-21 22:43:37,-33.92,25.57,57.2,82,6,5.82
145,Otjiwarongo,NA,2020-06-21 22:43:37,-20.46,16.65,50.76,44,0,9.22
146,Banjar,ID,2020-06-21 22:43:37,-8.19,114.97,78.8,100,40,8.05
147,Aklavik,CA,2020-06-21 22:43:37,68.22,-135.01,57.2,62,75,9.17
148,Santa Maria,BR,2020-06-21 22:43:37,-29.68,-53.81,70.75,84,67,1.72
149,Belgrade,RS,2020-06-21 22:41:09,44.8,20.47,62.6,88,75,13.87
150,Hami,CN,2020-06-21 22:43:37,42.8,93.45,68.67,23,21,8.61
151,Mbini,GQ,2020-06-21 22:43:37,1.57,9.61,76.91,86,40,10.02
152,Innisfail,AU,2020-06-21 22:43:37,-17.53,146.03,70.97,82,37,6.91
