,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
347,Cabo San Lucas,MX,86.0,22.89,-109.91,broken clouds,Hotel Tesoro Los Cabos
351,Saint-Cesaire,CA,75.2,45.42,-73.0,overcast clouds,Max St-Césaire
354,Ust-Kuyga,RU,83.75,70.02,135.6,overcast clouds,
361,Dogondoutchi,NE,89.15,13.64,4.03,clear sky,Hôtel Alheri Maison Alheri
362,Hope,US,87.01,33.67,-93.59,scattered clouds,Best Western Hope
363,Virginia Beach,US,82.4,36.85,-75.98,scattered clouds,Hilton Virginia Beach Oceanfront
372,Acapulco,MX,86.0,16.86,-99.89,broken clouds,HS Hotsson Smart Acapulco
374,Jaisinghnagar,IN,84.09,23.7,81.38,broken clouds,Sonu Up Dhawa
375,Opportunity,US,77.0,47.65,-117.24,scattered clouds,Comfort Inn & Suites
378,Fare,PF,77.43,-16.7,-151.02,broken clouds,Maitai Lapita Village Huahine
382,Esna,EG,82.17,25.29,32.55,clear sky,Orient Star Dahabyia Isna 05 Nights Each Sunday
387,Cockburn Town,TC,82.58,21.46,-71.14,scattered clouds,Osprey Beach Hotel
388,Hami,CN,82.98,42.8,93.45,clear sky,Laoyutang Resort
389,Lensk,RU,79.39,60.73,114.93,broken clouds,ТинОрС
391,Noumea,NC,75.2,-22.28,166.46,overcast clouds,Hôtel Le Lagon
393,Alibag,IN,82.4,18.64,72.88,haze,"Radisson Blu Resort & Spa - Alibaug, India"
394,Kloulklubed,PW,84.2,7.04,134.26,broken clouds,Storyboard Beach Resort
402,Khash,IR,75.67,28.22,61.22,few clouds,دفتر پیشخوان دولت جمال زهی (خالد)
403,Lumsden,CA,75.2,50.65,-104.87,broken clouds,Lumsden Hotel & Steak Pit
411,Ocos,GT,84.2,14.51,-92.19,broken clouds,La Bajadita
414,Kijang,KR,84.2,35.24,129.21,few clouds,Brown Dot Gijang Yeonhwari
417,Aflao,TG,78.8,6.12,1.19,scattered clouds,Hotel LeBenin
423,Mount Pleasant,US,84.2,32.79,-79.86,haze,Best Western Patriots Point
425,Bengkulu,ID,82.89,-3.8,102.27,clear sky,Grage Hotel Bengkulu
428,Sur,OM,84.43,22.57,59.53,broken clouds,Sur Plaza Hotel
435,Price,US,89.6,39.6,-110.81,clear sky,National 9 - Price River Inn
436,Krasnokamensk,RU,76.68,50.1,118.04,overcast clouds,Tsentral'naya
438,Panji,ID,84.29,-7.73,114.1,broken clouds,Bata Ringan Lokal Situbondo
442,Jega,NG,84.11,12.22,4.38,few clouds,Jega Guest Inn
452,Nagato,JP,77.0,34.38,131.2,broken clouds,いそう庵
456,Sakakah,SA,84.2,29.97,40.21,clear sky,Fakhamat Al Orjoana Apartment
457,Umm Lajj,SA,84.78,25.02,37.27,few clouds,Moon light Furnished Units
458,Harper,LR,75.94,4.38,-7.72,overcast clouds,Screensaver
467,Baykit,RU,77.22,61.67,96.37,overcast clouds,Gostinitsa
471,Tarazona,ES,75.2,41.9,-1.73,clear sky,Hotel Restaurante Condes de Visconti
474,Mitchell,US,84.2,43.71,-98.03,clear sky,Kelly Inn & Suites
479,Kenora,CA,80.6,49.82,-94.43,few clouds,Maynard Lake Lodge
482,Samarai,PG,79.45,-10.62,150.67,scattered clouds,Nuli Sapi
485,Celestun,MX,84.0,20.87,-90.4,scattered clouds,Posada Lilia
488,La Reforma,MX,87.01,25.08,-108.05,overcast clouds,Arremar Angostura
492,Ambon,ID,81.0,-3.7,128.18,broken clouds,Swiss-Belhotel Ambon
494,Mountain Home,US,84.2,43.13,-115.69,clear sky,Mountain Home Inn
498,Indramayu,ID,82.09,-6.33,108.32,scattered clouds,Grand Trisula Hotel
500,Ust-Karsk,RU,80.1,52.7,118.81,scattered clouds,
503,Ko Samui,TH,84.2,9.54,99.94,few clouds,"The Passage Samui Villas & Resort, Thailand"
506,Namtsy,RU,82.4,62.72,129.67,few clouds,"""Эңсиэли Киин"""
507,Sehore,IN,81.41,23.2,77.08,overcast clouds,SPOT ON 42643 Hotel Jk Shree SPOT
510,Merauke,ID,81.03,-8.47,140.33,overcast clouds,
519,Houma,US,82.99,29.6,-90.72,clear sky,Courtyard by Marriott Houma
527,Saint-Louis,SN,79.18,16.33,-15.0,scattered clouds,
535,Hailar,CN,77.83,49.2,119.7,scattered clouds,Holiday Inn & Suites Hulunbuir
538,Chaohu,CN,75.99,31.6,117.87,light intensity shower rain,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
540,San Lazaro,BZ,76.3,18.04,-88.66,few clouds,
549,Port Moresby,PG,86.0,-9.44,147.18,haze,Lamana Hotel
552,Guozhen,CN,76.41,34.37,107.36,overcast clouds,Yucai Hotel
556,Lahat,ID,81.09,-3.8,103.53,scattered clouds,Bukit Serelo Hotel
561,Lashio,MM,76.71,22.93,97.75,overcast clouds,Hotel CF Lashio - Burmese Only
562,Devils Lake,US,87.8,48.11,-98.87,clear sky,Holiday Inn Express Devils Lake
567,Hirara,JP,86.0,24.8,125.28,broken clouds,Hotel Atoll Emerald Miyakojima
568,Chiang Klang,TH,82.4,19.29,100.86,scattered clouds,Sangthongresort
